"featcode"	"rowindex"	"name"	"description"	"icon"	"mincharlevel"	"minattackbonus"	"minstr"	"mindex"	"minint"	"minwis"	"minspelllvl"	"prereqfeat1"	"prereqfeat2"	"gainmultiple"	"effectsstack"	"allclassescanuse"	"category"	"maxcr"	"spellid"	"successor"	"crvalue"	"usesperday"	"masterfeat"	"targetself"	"orreqfeat0"	"orreqfeat1"	"orreqfeat2"	"orreqfeat3"	"orreqfeat4"	"reqskill"	"toolscategories"	"hostilefeat"		"scd_list"	"sol_list"	"sct_list"	"tec_list"	"drx_list"	"drc_list"	"jcn_list"	"jgd_list"	"jsn_list"	"sas_list"	"sld_list"	"sma_list"	"jwa_list"	"jma_list"	"jwm_list"		"jcn_pc_granted"	"jgd_pc_granted"	"jsn_pc_granted"	"scd_granted"	"sol_granted"	"sct_granted"	"tec_granted"	"drx_granted"	"drc_granted"	"jcn_granted"	"jgd_granted"	"jsn_granted"	"sas_granted"	"sld_granted"	"sma_granted"	"jwa_granted"	"jma_granted"	"jwm_granted"		"handmaiden"	"baodur"	"hanharr"	"hk47"	"g0t0"	"atton"	"kreia"	"exclusion"	"usetype"	"pips"
"DEFLECT_2"	1			"if_jedidef02"	3	"****"	"****"	"****"	"****"	"****"	"****"	"DEFLECT_1"	"****"	0	0	0	"0x1808"	6	"****"	"DEFLECT_3"	"****"	"****"	"****"	1	"****"	"****"	"****"	"****"	"****"	"****"	3	0		4	4	4	4	4	4	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	"****"
"TWO_WEAPON_1"	3			"if_2weap01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"****"	3	"****"	"TWO_WEAPON_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	1	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"CRITICAL_STRIKE_1"	8			"if_crtstrk01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1104"	3	"****"	"CRITICAL_STRIKE_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"TWO_WEAPON_2"	9			"If_2weap02"	3	"****"	"****"	"****"	"****"	"****"	"****"	"TWO_WEAPON_1"	"****"	0	0	1	"****"	6	"****"	"TWO_WEAPON_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	1	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	0	1
"FLURRY_1"	11			"if_flurry01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1104"	3	"****"	"FLURRY_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"CONDITIONING_1"	13			"if_fortitude"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"****"	"****"	"****"	"CONDITIONING_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	6	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"POWER_ATTACK_2"	17			"if_pattack02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"POWER_ATTACK_1"	"****"	0	0	1	"0x1104"	6	"****"	"POWER_ATTACK_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"POWER_BLAST_2"	18			"if_pshot02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"POWER_BLAST_1"	"****"	0	0	1	"0x1111"	6	"****"	"POWER_BLAST_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	0	2
"CRITICAL_STRIKE_2"	19			"if_crtstrk02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"CRITICAL_STRIKE_1"	"****"	0	0	1	"0x1104"	6	"****"	"CRITICAL_STRIKE_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	1	2
"SNIPER_SHOT_2"	20			"if_sshot02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"SNIPER_SHOT_1"	"****"	0	0	1	"0x1111"	6	"****"	"SNIPER_SHOT_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	0	2
"CONDITIONING_2"	21			"if_ironwill"	3	"****"	"****"	"****"	"****"	"****"	"****"	"CONDITIONING_1"	"****"	0	0	1	"****"	"****"	"****"	"CONDITIONING_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	6	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	1	2
"CONDITIONING_3"	22			"if_lreflexes"	7	"****"	"****"	"****"	"****"	"****"	"****"	"CONDITIONING_1"	"CONDITIONING_2"	0	0	1	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	6	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"DEFLECT_3"	24			"if_jedidef03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"DEFLECT_1"	"DEFLECT_2"	0	0	0	"0x1808"	9	"****"	"****"	"****"	"****"	"****"	1	"****"	"****"	"****"	"****"	"****"	"****"	3	0		-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	"****"
